CD_MUN,SIGLA_UF,NM_MUN,NM_MUN_NORM,lat,long
1301209,AM,Coari,COARI,-4.436351417343804,-64.12531064640508
1301308,AM,Codajás,CODAJAS,-3.2889719656745537,-62.97331502440762
1301407,AM,Eirunepé,EIRUNEPE,-7.021998047216979,-70.21824815279244
1301506,AM,Envira,ENVIRA,-7.573304190469436,-70.05508588916071
1301605,AM,Fonte Boa,FONTE BOA,-2.4909855406731443,-66.3579242147065
1301654,AM,Guajará,GUAJARA,-7.229780929524515,-72.84458794980841
1301704,AM,Humaitá,HUMAITA,-7.36121752764476,-62.48643557568531
1301803,AM,Ipixuna,IPIXUNA,-7.1805115792357395,-71.41286686774374
1301852,AM,Iranduba,IRANDUBA,-3.095218725331638,-60.4796872188968
1301902,AM,Itacoatiara,ITACOATIARA,-3.174123473243175,-58.77534279766608
1301951,AM,Itamarati,ITAMARATI,-6.6828222402271,-68.11284121510297
1302009,AM,Itapiranga,ITAPIRANGA,-2.4972374433043902,-58.61326833892238
1302108,AM,Japurá,JAPURA,-1.6970807098089586,-68.32111769599372
1302207,AM,Juruá,JURUA,-3.524464207475711,-66.30779918675339
1302306,AM,Jutaí,JUTAI,-4.7152908524276285,-68.40630448524192
1302405,AM,Lábrea,LABREA,-8.375601480388989,-65.81166286106033
1302504,AM,Manacapuru,MANACAPURU,-3.2915381685717264,-60.9587578018521
1302553,AM,Manaquiri,MANAQUIRI,-3.7790507406852427,-60.697266062493185
1302603,AM,Manaus,MANAUS,-2.625919382624245,-60.25962801421486
1302702,AM,Manicoré,MANICORE,-6.459960113056875,-61.44677326569856
1302801,AM,Maraã,MARAA,-2.4268286433243027,-65.03955122909346
1302900,AM,Maués,MAUES,-4.984780950208547,-58.060922849253835
1303007,AM,Nhamundá,NHAMUNDA,-1.6805857923075784,-57.65624541348651
1303106,AM,Nova Olinda do Norte,NOVA OLINDA DO NORTE,-3.9895028216511568,-58.59976987094208
1303205,AM,Novo Airão,NOVO AIRAO,-2.048245987590205,-61.70342029444874
1303304,AM,Novo Aripuanã,NOVO ARIPUANA,-6.824012901575674,-60.47715479948319
1303403,AM,Parintins,PARINTINS,-2.688097965999019,-56.85464486626843
1303502,AM,Pauini,PAUINI,-7.757805439776877,-68.19714094780021
1303536,AM,Presidente Figueiredo,PRESIDENTE FIGUEIREDO,-1.3709195820204636,-59.989552767548574
1303569,AM,Rio Preto da Eva,RIO PRETO DA EVA,-2.5298229254857656,-59.638380419871794
1303601,AM,Santa Isabel do Rio Negro,SANTA ISABEL DO RIO NEGRO,-0.31836399969908946,-65.52132858040412
1303700,AM,Santo Antônio do Içá,SANTO ANTONIO DO ICA,-3.052907718943958,-69.0893525802269
1303809,AM,São Gabriel da Cachoeira,SAO GABRIEL DA CACHOEIRA,0.3744770705477498,-67.99706248616077
1303908,AM,São Paulo de Olivença,SAO PAULO DE OLIVENCA,-4.501436484946642,-69.45111858637381
1303957,AM,São Sebastião do Uatumã,SAO SEBASTIAO DO UATUMA,-1.9417623500804226,-58.70526097875074
1304005,AM,Silves,SILVES,-2.820549321231465,-58.537087354832906
1304062,AM,Tabatinga,TABATINGA,-4.028249697324346,-69.67762502510641
1304104,AM,Tapauá,TAPAUA,-6.093701966659891,-64.95579642177157
1304203,AM,Tefé,TEFE,-4.470110667399924,-65.53153604445829
1304237,AM,Tonantins,TONANTINS,-2.6918091718556303,-67.82604943350061
1304260,AM,Uarini,UARINI,-3.165655863541736,-65.41078966382038
1304302,AM,Urucará,URUCARA,-0.8943904083275621,-59.02958765220062
1304401,AM,Urucurituba,URUCURITUBA,-2.813757323531488,-57.77131013924437
1400027,RR,Amajari,AMAJARI,3.7329020369582975,-62.43702176274251
1400050,RR,Alto Alegre,ALTO ALEGRE,3.072100355967317,-62.74236800501164
1400100,RR,Boa Vista,BOA VISTA,3.1179150009891963,-60.71795308500435
1400159,RR,Bonfim,BONFIM,2.7876623297486662,-60.10061132291453
1400175,RR,Cantá,CANTA,2.272836718046951,-60.54228497044258
1400209,RR,Caracaraí,CARACARAI,0.9907342091686845,-61.47156262982608
1400233,RR,Caroebe,CAROEBE,0.9146902873917317,-59.33814403201764
1400282,RR,Iracema,IRACEMA,2.181807877209425,-62.401659326868796
1400308,RR,Mucajaí,MUCAJAI,2.510970974764502,-61.996788650473555
1400407,RR,Normandia,NORMANDIA,3.878878783353005,-60.06543380153883
1400456,RR,Pacaraima,PACARAIMA,4.168524263929725,-60.839380980175584
1400472,RR,Rorainópolis,RORAINOPOLIS,0.03804099733468974,-61.01117500797124
1400506,RR,São João da Baliza,SAO JOAO DA BALIZA,0.6357800840647316,-59.8450199749341
1400605,RR,São Luiz,SAO LUIZ,0.8844346761441175,-60.15183599987063
1400704,RR,Uiramutã,UIRAMUTA,4.6854249499432905,-60.27933517152137
1500107,PA,Abaetetuba,ABAETETUBA,-1.7302572723420493,-48.88306887591996
1500131,PA,Abel Figueiredo,ABEL FIGUEIREDO,-4.957318689132724,-48.42460076774081
1500206,PA,Acará,ACARA,-2.035385965430784,-48.41145042016256
1500305,PA,Afuá,AFUA,-0.26284105021103543,-50.72590506645382
1500347,PA,Água Azul do Norte,AGUA AZUL DO NORTE,-6.772978676606437,-50.4301550564553
1500404,PA,Alenquer,ALENQUER,-0.6046827090634037,-55.03915549632457
1500503,PA,Almeirim,ALMEIRIM,0.28447893622124854,-53.893585053718944
1500602,PA,Altamira,ALTAMIRA,-6.486171805709006,-53.88668321249472
1500701,PA,Anajás,ANAJAS,-0.8271325487525077,-49.9613911726669
1500800,PA,Ananindeua,ANANINDEUA,-1.3340768578953144,-48.38354432668742
1500859,PA,Anapu,ANAPU,-3.997185121708105,-51.3012777354932
1500909,PA,Augusto Corrêa,AUGUSTO CORREA,-1.1047124576174725,-46.5074156236778
1500958,PA,Aurora do Pará,AURORA DO PARA,-2.231178571300404,-47.72635254558255
1501006,PA,Aveiro,AVEIRO,-3.6672151007329488,-56.0162983565211
1501105,PA,Bagre,BAGRE,-2.3731431089328945,-50.1817669825938
1501204,PA,Baião,BAIAO,-3.129827240710866,-49.6989798602519
1501253,PA,Bannach,BANNACH,-7.486384401314646,-50.634416339161405
1501303,PA,Barcarena,BARCARENA,-1.4986179928198258,-48.63423094923131
1501402,PA,Belém,BELEM,-1.2407186555541538,-48.45991077071476
1501451,PA,Belterra,BELTERRA,-3.1911274514889043,-54.992849710605945
1501501,PA,Benevides,BENEVIDES,-1.339617610894158,-48.27562032243051
1501576,PA,Bom Jesus do Tocantins,BOM JESUS DO TOCANTINS,-5.05426669917955,-48.76351445005969
1501600,PA,Bonito,BONITO,-1.3873373704970515,-47.30228049511101
1501709,PA,Bragança,BRAGANCA,-1.1930864564728334,-46.76358126911983
1501725,PA,Brasil Novo,BRASIL NOVO,-3.292106289037456,-52.68540476126748
1501758,PA,Brejo Grande do Araguaia,BREJO GRANDE DO ARAGUAIA,-5.735506806840515,-48.43188898399919
1501782,PA,Breu Branco,BREU BRANCO,-3.733484053750865,-49.37122009872789
1501808,PA,Breves,BREVES,-1.1209050409023038,-50.62814636587193
1501907,PA,Bujaru,BUJARU,-1.632969008042318,-48.08987703873519
1501956,PA,Cachoeira do Piriá,CACHOEIRA DO PIRIA,-1.9886736565556569,-46.44321355794549
1502004,PA,Cachoeira do Arari,CACHOEIRA DO ARARI,-0.8694236167631433,-48.877241421472945
1502103,PA,Cametá,CAMETA,-2.253061762016818,-49.51357185465954
1502152,PA,Canaã dos Carajás,CANAA DOS CARAJAS,-6.424205512082495,-50.08567399919154
1502202,PA,Capanema,CAPANEMA,-1.1420838289749253,-47.117900920956565
1502301,PA,Capitão Poço,CAPITAO POCO,-2.0421650669577547,-47.23339596111927
1502400,PA,Castanhal,CASTANHAL,-1.2685148683733531,-47.87698077345739
1502509,PA,Chaves,CHAVES,-0.032400553372509085,-49.83789183631974
1502608,PA,Colares,COLARES,-0.9358459199923909,-48.273719096206676
1502707,PA,Conceição do Araguaia,CONCEICAO DO ARAGUAIA,-8.182491117878028,-49.5127083942615
1502756,PA,Concórdia do Pará,CONCORDIA DO PARA,-1.88172038340231,-47.97465720570959
1502764,PA,Cumaru do Norte,CUMARU DO NORTE,-8.45817201286518,-51.22103709792486
1502772,PA,Curionópolis,CURIONOPOLIS,-6.2289301916214255,-49.62461067379226
1502806,PA,Curralinho,CURRALINHO,-1.58346226576996,-49.98803389548679
1502855,PA,Curuá,CURUA,-1.8457428519085182,-55.11349123531498
1502905,PA,Curuçá,CURUCA,-0.7427434469705405,-47.86388329995668
1502939,PA,Dom Eliseu,DOM ELISEU,-4.186576160094258,-47.89811163276614
1502954,PA,Eldorado do Carajás,ELDORADO DO CARAJAS,-6.069645319570917,-49.24543528614872
1503002,PA,Faro,FARO,-1.1591503902210567,-57.805907589702244
1503044,PA,Floresta do Araguaia,FLORESTA DO ARAGUAIA,-7.548322817466277,-49.576030541202435
1503077,PA,Garrafão do Norte,GARRAFAO DO NORTE,-2.1683058053536697,-47.075976786549965
1503093,PA,Goianésia do Pará,GOIANESIA DO PARA,-4.027193117296021,-49.00571835421043
1503101,PA,Gurupá,GURUPA,-1.1494382854989338,-51.55392149822891
1503200,PA,Igarapé-Açu,IGARAPEACU,-1.1450184850937726,-47.5659877090523
1503309,PA,Igarapé-Miri,IGARAPEMIRI,-2.062705658910977,-49.13074463976294
1503408,PA,Inhangapi,INHANGAPI,-1.464677078113492,-47.92266995020077
1503457,PA,Ipixuna do Pará,IPIXUNA DO PARA,-2.8057781622090583,-47.92154624984668
1503507,PA,Irituia,IRITUIA,-1.8115355642670055,-47.39985942793916
1503606,PA,Itaituba,ITAITUBA,-5.871135292030899,-56.49671530338022
1503705,PA,Itupiranga,ITUPIRANGA,-5.114824257217532,-49.86970605836884
1503754,PA,Jacareacanga,JACAREACANGA,-7.4452869234354555,-57.30270530447973
1503804,PA,Jacundá,JACUNDA,-4.5985327160240255,-49.18119782905976
1503903,PA,Juruti,JURUTI,-2.622888870014243,-56.22138990387431
1504000,PA,Limoeiro do Ajuru,LIMOEIRO DO AJURU,-1.8642691017048283,-49.46913653661702
1504059,PA,Mãe do Rio,MAE DO RIO,-1.991012523901026,-47.51278296830373
1504109,PA,Magalhães Barata,MAGALHAES BARATA,-0.8098517416458569,-47.63520971420844
1504208,PA,Marabá,MARABA,-5.629799734576397,-50.01696035472193
1504307,PA,Maracanã,MARACANA,-0.8101349133079564,-47.497441449253024
1504406,PA,Marapanim,MARAPANIM,-0.8374128417999374,-47.70981299738847
1504422,PA,Marituba,MARITUBA,-1.3974502587060145,-48.319789761989554
1504455,PA,Medicilândia,MEDICILANDIA,-3.1602131695627205,-53.19499824141321
1504505,PA,Melgaço,MELGACO,-1.6076317961555866,-51.10386391203456
1504604,PA,Mocajuba,MOCAJUBA,-2.5766891662805116,-49.46638172330654
1504703,PA,Moju,MOJU,-2.6839114861877733,-49.07404190574693
1504752,PA,Mojuí dos Campos,MOJUI DOS CAMPOS,-3.070440004011785,-54.57515311142544
1504802,PA,Monte Alegre,MONTE ALEGRE,-1.0744001671730385,-54.35304895924269
1504901,PA,Muaná,MUANA,-1.3556752475552034,-49.30925024661417
1504950,PA,Nova Esperança do Piriá,NOVA ESPERANCA DO PIRIA,-2.392643684463775,-46.90004255412843
1504976,PA,Nova Ipixuna,NOVA IPIXUNA,-4.981070370322023,-49.23077058862448
1505007,PA,Nova Timboteua,NOVA TIMBOTEUA,-1.1564429805714191,-47.3921476912003
1505031,PA,Novo Progresso,NOVO PROGRESSO,-8.062276596675844,-55.61202636398004
1505064,PA,Novo Repartimento,NOVO REPARTIMENTO,-4.502843478941016,-50.27160967596154
1505106,PA,Óbidos,OBIDOS,-0.16964606771470878,-55.67486499218509
1505205,PA,Oeiras do Pará,OEIRAS DO PARA,-2.278918912183714,-49.90233023023044
1505304,PA,Oriximiná,ORIXIMINA,0.2549795909156493,-57.149825494589784
1505403,PA,Ourém,OUREM,-1.4959193842035412,-47.139196077238196
1505437,PA,Ourilândia do Norte,OURILANDIA DO NORTE,-7.520545378924538,-51.43093609505961
1505486,PA,Pacajá,PACAJA,-3.6841257430917618,-50.63168055322279
1505494,PA,Palestina do Pará,PALESTINA DO PARA,-5.9272670649551085,-48.370184177953256
1505502,PA,Paragominas,PARAGOMINAS,-3.20345000944641,-47.603151456791835
1505536,PA,Parauapebas,PARAUAPEBAS,-6.15173428554397,-50.489772459907854
1505551,PA,Pau D'Arco,PAU DARCO,-7.736975192088141,-50.123622298260464
1505601,PA,Peixe-Boi,PEIXEBOI,-1.130711396766385,-47.27198228037749
1505635,PA,Piçarra,PICARRA,-6.541034912852172,-49.0117691487147
1505650,PA,Placas,PLACAS,-3.889824153974516,-54.500659026606634
1505700,PA,Ponta de Pedras,PONTA DE PEDRAS,-1.1175084319524442,-49.077282012808574
